# Golden Reference Compare
# Date: 2026-03-31
# DIFFER=200, MISSING=559

## 7-File Subset
| AIR | m | d | mi | status | diff_files |
|-----|---|---|---|--------|------------|
| Add256 | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Arith | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| ArithEq | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| ArithEq384 | 0 | 7 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin,verkey.json,verkey.bin |
| Binary | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| BinaryAdd | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| BinaryExtension | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Blake2br | 0 | 7 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin,verkey.json,verkey.bin |
| Dma | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Dma64Aligned | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Dma64AlignedInputCpy | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Dma64AlignedMem | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Dma64AlignedMemCpy | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Dma64AlignedMemSet | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| DmaInputCpy | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| DmaMemCpy | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| DmaPrePost | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| DmaPrePostInputCpy | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| DmaPrePostMemCpy | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| DmaUnaligned | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| InputData | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Keccakf | 0 | 7 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin,verkey.json,verkey.bin |
| Main | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Mem | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| MemAlign | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| MemAlignByte | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| MemAlignReadByte | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| MemAlignWriteByte | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Poseidon2 | 0 | 7 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin,verkey.json,verkey.bin |
| Rom | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| RomData | 2 | 5 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin |
| Sha256f | 0 | 7 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin,verkey.json,verkey.bin |
| SpecifiedRanges | 0 | 7 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin,verkey.json,verkey.bin |
| VirtualTable0 | 0 | 7 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin,verkey.json,verkey.bin |
| VirtualTable1 | 0 | 7 | 0 | PART | starkinfo.json,expressionsinfo.json,verifierinfo.json,bin,verifier.bin,verkey.json,verkey.bin |

Total: m=54 d=191 mi=0
